mod_mb,mod_mb_melt_f,mod_mb_temp_b,mod_mb_prcp_fac
-541.5752968118302,-745.4376011514169,-605.5060629925713,-753.8682857592413
-124.65123490029391,-49.67883485550045,-27.78897197874471,592.2650304194249
1416.834278300958,2268.4280379407573,2450.5814240326117,5132.84610857875
-516.140483392442,-595.6448288294489,-458.2891792882532,-524.2687634138509
637.7485477921146,-71.65210085520826,520.3529930172554,538.8763417832156
1006.927380626513,1274.9990785883938,1579.3632769363867,3171.8772570180413
-434.02273753337516,-754.9038810268943,-519.1459008131538,-853.0136606182299
1093.3485478508453,844.6187502767658,1333.9437434785557,2396.1959655152727
786.7357075123832,703.9027546271842,1050.809108725224,2087.417463525222
74.28312020425388,6.063134345025402,306.3212729207715,670.5203693839965
-456.6185688717311,874.8969722898689,812.0270434440044,2477.9293081097253
-112.88536250731184,-159.85611330446457,326.0071066047136,427.80563688376833
1412.7353403447669,1910.0153186069738,2325.2991862885306,4486.794469396666
-1410.4920471428602,-758.687662928062,-854.8718297414648,-718.8661036410894
1067.9356236058798,1244.8430011660066,1541.8821401009218,3092.961504446141
-661.5680718290012,-651.2810338850094,-580.5418921369179,-591.8334312890444
285.0360168328111,-43.06288390236637,588.5210221238985,610.0764695469652
-1366.9161052216236,-741.5043395262616,-749.6536240253653,-669.6294527322946
-1507.069682368807,-1078.9400996938787,-1191.5054196559845,-1399.828731946846
-2525.588320438796,-1643.6365384488133,-1875.1027589138769,-2462.0989106005018
-1078.5125531738215,-1210.590282721096,-1021.5873408465268,-1694.769530496041
-102.9343209083143,-415.6466981340299,-124.04840295111404,-120.47845170706783
-501.97984944758946,4.833365520626999,53.96150823663002,736.4245910020261
-1826.4759079524615,-981.7497713324531,-947.415850138088,-1165.0733363646668
-1733.3141812348438,-1373.455902692313,-1243.6749410109571,-1925.3837449636164
-943.3572127741959,-532.1621094488711,-392.487231587152,-297.22884176685335
-1893.4263190529798,-1933.047737071829,-1995.6014643147223,-3076.2418019841875
-641.5838750086148,-675.2633153517933,-549.1932287203223,-557.8956339176926
-2425.1946989604576,-2326.825391270417,-2323.106413576898,-3823.0989812841185
-1567.4410657774815,-970.1803082980155,-1034.3924840600373,-1177.5533496246992
-306.3225949542972,-308.9949617561774,-158.62933207067277,69.01526892412909
-926.8332912223252,310.2816008398723,235.42004068422,1355.1061728170937
367.4469073040554,330.4073360403192,579.6210774586607,1337.7685013731657
-1604.757173405908,-1308.6451722245629,-1351.567015921325,-1811.884385138491
-1393.6313707320253,-882.5555043387546,-624.8175451703449,-982.424298013071
-292.22162124293334,459.4458093442739,277.72596877476525,1609.035129253536
-305.4716227375749,134.69268383461852,382.4411985462118,986.9481254336697
-1069.485071190743,-1165.1258447647558,-1043.2781128458325,-1608.9198015917714
-2344.6765936143324,-770.9095333589306,-1045.9327366617924,-690.4035315387347
-1443.3878582671948,-863.9279624959389,-709.7676666097854,-933.1137935752922
-1099.2330615974283,-1004.8794630643246,-967.2488464580474,-1281.2015631169097
-1517.072336256938,-939.211400244312,-904.4803903807161,-1091.176299439017
-1777.8594681715138,-1202.5076502788318,-1231.9738947734347,-1590.8282547928623
-2522.700639523028,-1410.2597390225687,-1474.9084540479796,-1964.7198701474924
-899.5543981883918,-770.8628567453593,-633.6743937290413,-774.9332878136697
-1918.1516575528512,-695.0823811962563,-880.3454461455481,-580.138525629632
-2863.214923666817,-1576.8908466925104,-1796.3772869311285,-2293.357903742273
-2689.030473970694,-1172.2511654611887,-1344.6916992982997,-1473.5441185162113
-2152.57947790754,-1369.501453433586,-1338.415375904377,-1891.6606654128034
-2491.247764489523,-1463.2214949810184,-1639.100088515532,-2059.5668993333406
